Actions,id,name,age,adult,birth date,eyeColor,iban
unchecked,5cd9307025f4f0572995990f,Hunt Valdez,2,unchecked,"Jun 2, 2017 11:22 AM",green,
unchecked,5cd93070d21a6d52114fe3ef,Oneil Osborn,75,checked,"Dec 8, 1944 4:35 AM",brown,FR9436905982392049415972699
unchecked,5cd930706cc8e22cc8480149,Pennington Robinson,54,checked,"Feb 12, 1965 6:38 PM",brown,
unchecked,5cd93070f3acebc532d2a1eb,Durham Prince,88,checked,,brown,LU808385215907579378
unchecked,5cd93070cb5adea1913e45bb,Meadows Stark,39,checked,"Jul 25, 1980 8:29 AM",green,LU273045010440797850
unchecked,5cd93070977cc4d3fbda6f8f,Walsh Duke,22,checked,"Apr 28, 1997 10:07 AM",green,FR8679727098719082693394826
unchecked,5cd930704a7c260884f5b296,Kathleen Davenport,30,checked,,green,LU002147421603588718
unchecked,5cd930705c76585ebd55b974,Hodges Vaughan,96,checked,"Feb 19, 1923 3:04 PM",green,FR8058367263864847703993309
unchecked,5cd9307003f57757d15de45a,Marjorie Pitts,43,checked,"May 12, 1976 7:20 PM",blue,LU175152348739412199
unchecked,5cd930707191a32b78178e92,Myra Wilkinson,32,checked,"Oct 4, 1987 1:26 AM",blue,LU623639666928889047
unchecked,5cd9307069193b1585585016,Nora Spencer,25,checked,"Jun 12, 1994 4:29 PM",blue,FR7068136421658329007564624
unchecked,5cd93070be09d703e3076774,Penelope Weiss,68,checked,"Dec 1, 1951 10:38 AM",brown,LU920208807566381854
unchecked,5cd93070c443d6450fb958a9,Kristina Kramer,96,checked,"Aug 10, 1923 5:26 AM",brown,
unchecked,5cd93070581462e68e5511da,Debbie Schultz,70,checked,"Feb 16, 1949 11:15 PM",,
unchecked,5cd93070c70b7af2500a295d,Michael Hall,62,checked,"Dec 11, 1957 12:50 PM",,LU959608490465421136
unchecked,5cd9307065d8f098f56c7d58,Slater Giles,98,checked,,brown,FR7407863042381960672579371
unchecked,5cd930702004450983d3325f,Young Phelps,81,checked,"Apr 12, 1938 10:21 PM",,
unchecked,5cd930706d10450b76cf7195,Mcdonald Merrill,9,unchecked,"Dec 5, 2010 2:17 AM",,LU958550652853109453
unchecked,5cd93070f2a5311d513f3922,Lindsey Vance,96,checked,,brown,LU032029638594257192
unchecked,5cd93070605fcd9a4fc6ba18,Alfreda Raymond,64,checked,"Oct 21, 1955 2:41 AM",blue,FR4238783540825135266170485
